obs_key,source,project,site,obs_time,year,longitude,latitude,sampledarea_ha,nplots,agb_drymass_ha,agb_ha_rederived,verify_ratio,verify_status,bgb_drymass_ha,live_basal_area_ha,live_tree_density_ha,n_stems,n_species,mean_dbh_cm,mean_ht_m,n_allom_models
14625472_02661412_20140623_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),wallal02,2014-06-23,2014,146.2547,-26.6141,0.1963,1,62.1106,68.61807335710647,1.1047723473466118,provider_disagrees,18.0291,8.0268,285.0,56.0,4.0,13.706616071428572,7.567272727272727,2.0
14736090_02568053_20150820_000000,DSITI Queensland RSC,TLSIIG (Qld),ilcp11118,2015-08-20,2015,147.3609,-25.6805,0.25,1,360.6569,311.72773639999997,0.8643332108716066,provider_disagrees,103.0054,25.93,880.0,220.0,10.0,15.071071818181819,,2.0
14739574_02578928_20150817_000000,DSITI Queensland RSC,TLSIIG (Qld),ilcp14213,2015-08-17,2015,147.3957,-25.7893,0.25,1,97.7646,127.6055616,1.3052327897828049,provider_disagrees,30.2343,8.7236,312.0,78.0,3.0,15.829574358974359,,2.0
14747230_02571672_20150821_000000,DSITI Queensland RSC,TLSIIG (Qld),ilcp12419,2015-08-21,2015,147.4723,-25.7167,0.25,1,212.7559,266.515138,1.2526803628007495,provider_disagrees,63.529,15.7884,444.0,111.0,3.0,15.092082882882883,,4.0
14761871_02546368_20150818_000000,DSITI Queensland RSC,TLSIIG (Qld),ilcp05829,2015-08-18,2015,147.6187,-25.4637,0.25,1,147.2174,141.8842552,0.96377367892654,provider_disagrees,41.4561,10.7084,340.0,85.0,4.0,17.530882352941177,,2.0
14861750_02541087_20140903_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),boxvale02,2014-09-03,2014,148.6175,-25.4109,0.1963,1,230.323,265.79501171676003,1.1540098544946011,provider_disagrees,59.5197,14.1045,581.0,114.0,4.0,13.302995614035089,11.78131868131868,2.0
14861900_02541120_20140903_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),boxvale01,2014-09-03,2014,148.619,-25.4112,0.1963,1,44.1828,49.56562964849719,1.121830885514209,provider_disagrees,13.4581,4.4126,275.0,54.0,1.0,11.264835185185186,9.539622641509434,1.0
14862200_02540506_20140903_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),boxvale03,2014-09-03,2014,148.622,-25.4051,0.1963,1,162.2897,217.42025267447784,1.3397045695104361,provider_disagrees,48.8988,12.7314,733.0,144.0,4.0,12.898221527777778,8.46875,2.0
14978713_02482119_20141217_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),brs01,2014-12-17,2014,149.7871,-24.8212,0.1963,1,704.4864,717.2999256240448,1.0181884641407482,provider_disagrees,188.6685,10.7608,1131.0,222.0,2.0,10.200587837837837,7.276190476190476,3.0
14993800_02741504_20140901_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),broadacres01,2014-09-01,2014,149.938,-27.415,0.1963,1,72.5853,104.82590983188994,1.4441754712302621,provider_disagrees,21.7672,14.5338,647.0,127.0,2.0,10.463653543307087,8.09920634920635,2.0
14993860_02741497_20140901_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),broadacres02,2014-09-01,2014,149.9386,-27.415,0.1963,1,617.9021,1213.8309836984208,1.9644390004475156,provider_disagrees,184.9675,9.0504,4543.0,892.0,2.0,5.578341816143498,6.69655172413793,2.0
15051610_02355434_20141216_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),hinchcliff01,2014-12-16,2014,150.5161,-23.5543,0.1963,1,222.3367,310.986039225675,1.3987166276448062,provider_disagrees,60.8181,8.4636,698.0,137.0,4.0,8.946652554744524,6.2700729927007295,3.0
15051685_02355103_20141216_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),hinchcliff02,2014-12-16,2014,150.5169,-23.551,0.1963,1,239.9809,426.3800906775344,1.7767251088629736,provider_disagrees,65.8985,6.6416,789.0,155.0,3.0,7.624276774193548,5.9071428571428575,3.0
15099702_02569456_20141219_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),dykehead02,2014-12-19,2014,150.997,-25.6946,0.1963,1,119.8611,137.4626428935303,1.1468495024117942,provider_disagrees,34.3971,5.9902,540.0,106.0,9.0,5.0346707547169816,3.859433962264151,2.0
15099767_02569445_20141219_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),dykehead03,2014-12-19,2014,150.9977,-25.6944,0.1963,1,130.0851,119.98566683647478,0.9223628750446805,provider_disagrees,39.7789,4.9548,382.0,75.0,8.0,8.461832,6.921333333333334,3.0
15100021_02569390_20141219_000000,DSITI Queensland RSC,JAXA K&C biomass (Qld),dykehead01,2014-12-19,2014,151.0002,-25.6939,0.1963,1,111.2004,45.65899643402955,0.41060100893548535,provider_disagrees,30.8892,2.3434,143.0,28.0,2.0,9.028675,6.178571428571429,3.0
15308820_02762713_20140923_000000,DSITI Queensland RSC,TLSIIG (Qld),kara005,2014-09-23,2014,153.0882,-27.6271,0.1963,1,269.717,243.85273611818644,0.904105918863796,provider_disagrees,78.0788,22.7535,606.0,119.0,12.0,18.022843697478994,,4.0
15308909_02762522_20140923_000000,DSITI Queensland RSC,TLSIIG (Qld),kara001,2014-09-23,2014,153.0891,-27.6252,0.1963,1,235.5248,232.3589516046867,0.9865583225404998,provider_disagrees,64.1975,19.1976,601.0,118.0,12.0,14.560929661016948,,2.0
11534153_03395064_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C09-035193,2014-04-15,2014,115.3415,-33.9506,0.1257,1,74.2461,,,no_stem_data,22.0028,12.9172,247.0,,,,,
11557850_03375284_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C08-016078,2014-04-15,2014,115.5785,-33.7528,0.1257,1,27.3479,,,no_stem_data,9.1879,27.2051,470.0,,,,,
11591287_03387761_20140515_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C07-020302,2014-05-15,2014,115.9129,-33.8776,0.1257,1,83.2572,,,no_stem_data,27.0878,122.931,613.0,,,,,
