id,name,category,subtype,provider,coverage_scope,region,variable,units,representation,support_size,temporal_coverage,geometry_type,native_crs,coord_availability,coord_usability_tier,n_records_or_area,access,license,format,portal_url,doi,citation_short,verified,validation_caveats
geo-trees,GEO-TREES Forest Biomass Reference System,in-situ-plot,supersite,GEO-TREES initiative (IIASA hosting; CNRS/Chave; Smithsonian ForestGEO; RAINFOR/ForestPlots.net),global,pantropical focus + temperate sites,AGB,Mg/ha,mapped-plot,">=0.25 ha (1 ha preferred), AGB delivered at 0.25 ha","ongoing, ~5 yr remeasurement; builds on legacy inventories (1990s-2000s)",point,EPSG:4326,public-exact,pixel,~60 sites operational (target ~100),open (plot-aggregated + coords) / collaboration (raw tree data),CC-BY-SA-4.0 (aggregated summary data),web map + API,https://data.geo-trees.org/,,GEO-TREES (successor to Forest Observation System),2026-07-23,Purpose-built as a biomass-map validation reference (best-in-class). AGB via allometry + ALS/TLS calibration; 0.25 ha aggregation eases plot-to-pixel matching. Aggregated AGB + site coords are open; raw tree-level data restricted to site PIs. No single dataset DOI yet.
forestplots-net,"ForestPlots.net (RAINFOR, AfriTRON, T-FORCES, PPBio)",in-situ-plot,plot-network,University of Leeds (community consortium),global,"pantropical, ~54 countries, ~24 networks",AGB,Mg/ha,point-plot,commonly 1 ha (variable),"1999-present, multi-decadal repeat censuses",point,EPSG:4326,restricted,restricted,"~4,062 plots; ~0.5M tagged trees",registration + collaboration/permission,ForestPlots.net data-sharing policy (per-owner permissions),"web app, tabular export",https://forestplots.net/,10.1016/j.biocon.2020.108849,Lopez-Gonzalez et al. 2011; ForestPlots.net et al. 2021,2026-07-23,Rich per-tree data but precise coordinates restricted; Chave et al. 2014 pantropical allometry; co-authorship/data-sharing expectations make it collaboration-only for map validation.
forestgeo,Smithsonian ForestGEO (CTFS-ForestGEO) large mapped plots,in-situ-plot,mapped-plot,Smithsonian Tropical Research Institution / ForestGEO,global,"Americas, Africa, Asia, Europe; tropical/temperate/boreal",AGB,Mg/ha,mapped-plot,median ~25 ha (range ~2-50+ ha); stems >=1 cm DBH mapped,since 1980-82 (BCI); ~5 yr recensus,polygon,EPSG:4326 + local plot x/y,on-request,restricted,~59-78 large plots,data-request / registration (PI approval per plot),per-dataset (ForestGEO data-sharing policy),tabular census (CSV/DB); fgeo R package,https://forestgeo.si.edu/explore-data,10.1111/gcb.12712,Anderson-Teixeira et al. 2015,2026-07-23,Very large mapped plots are excellent for AGB validation (plot-to-pixel matching favorable at >=1 ha); stem maps allow sub-plot AGB. Plot locations known but full census data access is request-gated; allometry choice varies by study.
tmfo,Tropical managed Forests Observatory (TmFO),in-situ-plot,plot-network,"CIRAD (coordination), CIFOR-ICRAF",global,"Amazon, Congo Basin/West Africa, SE Asia; ~12 countries",AGB,Mg/ha,point-plot,variable (silvicultural-experiment plots),decades of repeat measurement; network formalized ~2012-2014,point,EPSG:4326,restricted,restricted,"~657 permanent plots, ~30 sites, ~1,276 ha",collaboration (member institutions),consortium data-sharing agreement,tabular (per member institution),https://tmfo.org/,10.1111/avsc.12125,Sist et al. 2015,2026-07-23,Focus on logged/managed forests (useful disturbance/biomass gradient); many silvicultural-experiment plots; access collaboration-only; Chave-2014-type allometry.
gfbi,Global Forest Biodiversity Initiative (GFBI),in-situ-plot,plot-network,GFBI consortium (Purdue FACAI data system),global,~44+ countries,AGB,Mg/ha,point-plot,"highly variable (national-inventory style, many small)",aggregates inventories over many decades; ongoing,point,EPSG:4326,restricted,restricted,~777k-1.3M plots (snapshot-dependent),registration + formal data request (merit-reviewed),GFBI data-sharing policy / per-provider terms,GFBI Data Management System; tabular exports,https://www.gfbinitiative.org/data,10.1038/s41597-020-00766-x,Liang et al. 2016; Gatti/Liang et al. 2022,2026-07-23,Enormous coverage but heterogeneous protocols and plot sizes (many small -> plot-to-pixel mismatch); coordinates restricted; best used via collaboration.
neon-veg-structure,NEON terrestrial vegetation structure (DP1.10098.001),in-situ-plot,plot-network,NSF NEON (operated by Battelle),national,"USA (CONUS, AK, HI, PR); 47 terrestrial sites",AGB,Mg/ha (user-derived from DBH/height),point-plot,40x40 m base plots (0.16 ha),2013/14-present; annual/5-yearly,point,EPSG:4326 (+ per-site UTM),public-fuzzed,pixel,dozens of plots per site,open (no registration),NEON open data (CC-BY-like),CSV (portal + neonUtilities API),https://data.neonscience.org/data-products/DP1.10098.001,,NEON DP1.10098.001 (versioned DOIs per release),2026-07-23,Small base plots (0.16 ha) -> plot-to-pixel mismatch for coarse AGB maps; AGB not provided (apply allometry); tree locations reconstructable with meter-level coordinateUncertainty; US only.
tern-biomass-plot-library,TERN Biomass Plot Library + AusPlots (Australia),in-situ-plot,plot-network,"TERN (University of Adelaide); CSIRO, JRSRP",national,"Australia (continental; gaps in GWW, Kimberley, Cape York)",AGB,Mg/ha (allometric; also BGB/total),point-plot,"variable, many <0.1 ha; AusPlots Forest = 48 x 1 ha",1936-2015 (majority 1995-2015),point,EPSG:4326,public-exact,pixel,"~12,663 sites; ~839,866 trees",open (TERN Data Discovery Portal; ausplotsR),CC-BY-4.0,CSV / tabular; R package,https://portal.tern.org.au/metadata/fc4a7249-ebb2-4ada-8e06-b552bfb297a3,,TERN Biomass Plot Library (fc4a7249-...),2026-07-23,"Open coordinates + CC-BY = highly usable, BUT many plots <0.1 ha -> severe plot-to-pixel mismatch for satellite AGB; pre-2000 GPS accuracy limits; biomass modeled (allometric), not weighed. Not a probability-based inventory (a collation) -> heterogeneous protocols."
swamp-mangrove,SWAMP mangrove biomass database,in-situ-plot,plot-network,CIFOR / CIFOR-ICRAF (Dataverse),global,"tropical/subtropical mangroves (SE Asia, LatAm, Africa, Pacific)",AGB,Mg/ha (mangrove),point-plot,variable,primarily post-2000,point,EPSG:4326,public-exact,pixel,hundreds of plots (~510 in compilations),open (CIFOR Dataverse; some accept-terms),"CIFOR Dataverse terms (open, CC-style)",CSV via Dataverse (per-study DOIs),https://data.cifor.org/dataverse/swamp,,SWAMP / CIFOR,2026-07-23,Specialist mangrove use only; heterogeneous plot sizes; mangrove-specific allometry (Komiyama/Chave); georeferencing is a QA criterion so plot locations are released.
icp-forests-level2,ICP Forests Level II intensive monitoring plots,in-situ-plot,plot-network,ICP Forests / Thuenen Institute PCC (UNECE CLRTAP),continental,Europe-wide (+ some non-EU); ~40 countries,AGB,Mg/ha (derived; biomass secondary),mapped-plot,~0.25 ha assessment plots,early 1990s-present,point,EPSG:4326,restricted,restricted,~250-800 Level II plots,data-request (data-use agreement),ICP Forests data policy,tabular DB exports,https://www.icp-forests.org/,,Ferretti & Fischer (eds); ICP Forests PCC,2026-07-23,Primarily an air-pollution/forest-condition network (biomass secondary); exact coordinates restricted; European temperate/boreal only -> limited direct use for AGB map validation.
usa-fia,USA Forest Inventory and Analysis (FIA),in-situ-plot,nfi,USDA Forest Service,national,USA (nationwide),AGB,"Mg/ha (from tree dry biomass; also carbon, volume)",point-plot,4-subplot cluster (~0.067 ha; each subplot 24 ft radius),~2000-present annualized (5-10 yr remeasurement),point,EPSG:4326,public-fuzzed,aggregate,"~350,000+ plots",open (fuzzed; DataMart) / on-request (exact via Spatial Data Services),US public domain,"CSV, SQLite (FIADB)",https://apps.fs.usda.gov/fia/datamart/datamart.html,,USDA FS FIA (FIADB),2026-07-23,Public coords perturbed within 0.5 mi (up to 1 mi) and a subset of private plots swapped within county -> precludes true pixel-level validation; best at aggregate/estimation-unit scale unless exact coords obtained. Standout: publishes tree dry biomass/carbon directly (no external allometry).
